grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, gap, pancake28, "7 16 13 3 22 6 5 19 24 11 8 25 21 14 4 9 1 10 17 20 15 23 27 2 12 26 18 0", 28, 27, 169955, 0.017853, 9.5196885677e+06
X, ida, gap, pancake28, "11 0 7 2 1 3 25 4 20 16 12 17 26 19 5 13 10 9 21 14 18 8 23 27 22 15 6 24", 27, 26, 91327, 0.008905, 1.0255699045e+07
X, ida, gap, pancake28, "4 22 23 2 14 6 20 18 27 21 3 15 16 17 1 12 10 24 11 13 5 9 19 25 26 7 0 8", 26, 24, 1174531, 0.116216, 1.0106448338e+07
X, ida, gap, pancake28, "7 5 27 2 22 16 25 26 13 23 3 17 15 21 12 24 10 9 14 19 1 4 8 0 18 20 6 11", 27, 26, 79063, 0.007605, 1.0396186719e+07
X, ida, gap, pancake28, "19 27 21 25 12 11 5 20 9 14 6 2 1 26 16 8 22 7 18 15 0 24 10 13 3 4 23 17", 26, 25, 795486, 0.079857, 9.9613809685e+06
X, ida, gap, pancake28, "4 24 26 18 23 7 2 3 6 0 12 8 15 25 21 17 5 1 13 22 16 10 20 27 11 14 9 19", 28, 27, 55926, 0.006206, 9.0116016758e+06
X, ida, gap, pancake28, "19 5 0 15 13 18 17 27 20 4 1 21 26 11 24 23 10 3 8 16 25 22 14 12 2 7 9 6", 27, 26, 152758, 0.016241, 9.4057016194e+06
X, ida, gap, pancake28, "24 14 2 0 18 6 25 22 7 5 10 12 16 1 11 20 19 8 4 13 21 23 27 3 15 17 26 9", 28, 27, 1241073, 0.122901, 1.0098152171e+07
X, ida, gap, pancake28, "8 13 27 2 3 10 0 26 15 18 21 12 4 6 17 14 16 23 24 7 9 25 1 11 20 19 5 22", 26, 25, 683092, 0.067384, 1.0137302624e+07
X, ida, gap, pancake28, "17 13 10 15 23 3 9 12 0 25 18 6 14 27 22 21 20 19 7 2 5 24 4 8 26 1 16 11", 25, 25, 283, 0.000031, 9.1290322581e+06
X, ida, gap, pancake28, "19 6 1 22 25 21 8 5 27 12 24 3 7 23 17 10 9 4 11 14 0 26 15 18 20 13 2 16", 28, 27, 44940, 0.004374, 1.0274348422e+07
X, ida, gap, pancake28, "24 6 5 2 18 4 23 15 22 14 11 27 26 17 10 20 16 3 8 13 7 1 21 19 25 12 0 9", 27, 26, 63877, 0.006784, 9.4158313679e+06
X, ida, gap, pancake28, "25 26 0 27 6 3 18 15 16 4 8 17 23 1 9 5 21 2 19 12 11 7 10 20 13 14 24 22", 25, 24, 83882, 0.008596, 9.7582596557e+06
X, ida, gap, pancake28, "21 14 1 10 22 18 2 25 8 27 15 6 5 12 0 24 17 4 20 19 11 23 13 7 3 16 26 9", 27, 26, 118760, 0.012313, 9.6450905547e+06
X, ida, gap, pancake28, "27 5 9 1 24 16 15 21 22 11 25 2 13 10 18 12 20 17 6 26 19 4 0 8 23 3 7 14", 26, 26, 17231, 0.002030, 8.4881773399e+06
X, ida, gap, pancake28, "25 3 14 12 1 16 20 21 24 15 2 23 6 11 22 17 10 13 8 0 19 7 18 5 27 9 4 26", 27, 27, 21511, 0.002747, 7.8307244266e+06
X, ida, gap, pancake28, "24 10 11 26 8 27 0 6 15 25 5 1 14 7 17 13 21 2 23 4 3 12 9 16 22 19 20 18", 26, 25, 84521, 0.009251, 9.1364176846e+06
X, ida, gap, pancake28, "1 12 25 22 14 4 3 24 27 11 2 5 21 6 9 26 7 19 17 18 13 8 0 15 16 20 10 23", 26, 25, 13256, 0.001599, 8.2901813634e+06
X, ida, gap, pancake28, "19 14 4 6 23 15 2 1 0 8 7 22 17 5 12 10 25 18 21 26 9 3 11 13 27 20 24 16", 26, 25, 359676, 0.037031, 9.7128351921e+06
X, ida, gap, pancake28, "21 1 16 17 15 14 20 27 25 4 8 22 24 9 10 11 6 23 5 13 0 19 18 12 2 7 3 26", 24, 23, 391727, 0.040210, 9.7420293459e+06
X, ida, gap, pancake28, "7 18 27 20 11 8 9 15 3 26 16 5 14 21 4 23 2 1 22 25 0 13 10 6 17 19 12 24", 26, 26, 20278, 0.002304, 8.8012152778e+06
X, ida, gap, pancake28, "5 19 11 16 0 18 8 25 27 21 2 24 20 7 9 10 1 22 6 15 26 23 4 14 13 17 12 3", 26, 26, 3529, 0.000350, 1.0082857143e+07
X, ida, gap, pancake28, "27 0 24 8 18 4 9 2 14 21 1 11 22 20 10 19 25 7 12 23 6 5 26 16 13 15 17 3", 28, 27, 495016, 0.050548, 9.7929888423e+06
X, ida, gap, pancake28, "26 24 17 7 21 4 20 14 13 10 3 27 9 16 18 1 23 19 2 15 8 12 0 5 22 6 25 11", 27, 27, 4496, 0.000463, 9.7105831533e+06
X, ida, gap, pancake28, "15 3 2 19 11 14 13 22 26 20 17 1 0 6 16 12 7 24 9 4 21 8 27 18 5 23 10 25", 26, 25, 15475, 0.001849, 8.3693888588e+06
X, ida, gap, pancake28, "4 18 2 24 21 14 17 13 7 15 26 22 19 6 27 1 11 25 20 0 10 8 3 12 5 9 23 16", 29, 28, 78723, 0.008092, 9.7284972813e+06
X, ida, gap, pancake28, "15 5 7 24 4 3 18 1 13 17 10 26 16 22 19 25 14 6 27 2 8 11 0 20 23 9 12 21", 28, 27, 210742, 0.022324, 9.4401540942e+06
X, ida, gap, pancake28, "20 9 2 16 25 13 10 14 0 21 24 22 17 11 3 6 18 1 15 26 27 5 23 8 7 19 12 4", 27, 26, 57885, 0.005595, 1.0345844504e+07
X, ida, gap, pancake28, "23 24 21 10 12 2 18 16 19 27 13 20 11 17 6 1 3 7 4 14 0 15 8 5 25 9 26 22", 27, 27, 40957, 0.004737, 8.6461895715e+06
X, ida, gap, pancake28, "10 5 7 18 13 3 19 16 20 8 15 12 6 21 1 22 9 25 27 23 14 24 0 17 4 2 26 11", 28, 28, 111693, 0.011180, 9.9904293381e+06
X, ida, gap, pancake28, "7 23 25 22 0 1 26 11 6 14 17 5 16 20 2 4 21 18 12 19 3 13 9 15 24 8 27 10", 27, 27, 27308, 0.003249, 8.4050477070e+06
X, ida, gap, pancake28, "7 10 8 1 9 2 24 5 12 25 20 6 26 14 17 4 19 0 18 13 22 27 3 11 16 23 21 15", 29, 28, 416055, 0.041984, 9.9098466082e+06
X, ida, gap, pancake28, "1 3 15 9 13 11 17 22 21 26 18 24 25 20 8 6 7 2 23 27 19 12 10 4 16 14 0 5", 26, 25, 43249, 0.004274, 1.0119092185e+07
